Number,Theme,Name,Minifigs,Pieces,USPrice
30311,City,Swamp Police Helicopter,1,51,3.49
6012,Castle,Siege Cart,2,54,3.5
30105,Friends,Mailbox,1,41,3.99
30204,Friends,Wish Fountain,1,44,3.99
30302,Marvel Super Heroes,Spider-Man,1,45,3.99
30349,City,Sports Car,1,47,3.99
30303,DC Comics Super Heroes,The Joker Bumper Car,1,47,3.99
7473,Dino Attack,Steel Sprinter vs. Mutant Lizard,1,42,4
7409,Adventurers,Secret of the Tomb,2,42,4
4172,Creator,Tina's House,1,43,4
6526,Town,Red Line Racer,1,47,4
6835,Space,Saucer Scout,1,47,4
6431,Town,Road Rescue,1,48,4
6550,Town,Outback Racer,1,49,4
7030,World City,Squad Car,1,52,4
6861,Space,X1 Patrol Craft,1,55,4
6846,Space,Tri-Star Voyager,1,69,4.45
6020,Castle,Magic Shop,1,47,4.5
6538,Town,Rebel Roadster,1,57,4.5
6491,Time Cruisers,Rocket Racer,1,58,4.5
6533,Town,Police 4 x 4,1,62,4.75
30166,DC Comics Super Heroes,Robin and Redbird Cycle,1,40,4.99
40054,Seasonal,Summer Scene,1,40,4.99
30282,The LEGO Movie,Super Secret Police Enforcer ,1,40,4.99
3177,City,Small Car,1,43,4.99
7305,Pharaoh's Quest,Scarab Attack,1,44,4.99
2516,Ninjago,Ninja Training Outpost,1,45,4.99
30271,Teenage Mutant Ninja Turtles,Mikey's Mini-Shellraiser,1,47,4.99
7976,Atlantis,Ocean Speeder,1,54,4.99
7695,Space,MX-11 Astro Fighter ,2,57,4.99
7711,Exo-Force,Sentry,1,78,4.99
6519,Town,Turbo Tiger,1,47,5
6702,Space,Space Mini-Figures,6,56,5
7708,Exo-Force,Uplink,1,69,5
7015,Vikings,Viking Warrior challenges the Fenris Wolf,1,76,5
697,LEGOLAND,Stage Coach,1,95,5
6023,Castle,Maiden's Cart,2,43,5.5
5969,Space,Squidman Escape,2,42,5.99
7236,City,Police Car,1,59,5.99
2964,Space,Space Spider,1,46,6
4930,Rock Raiders,The Rock Raiders,5,46,6
5964,Belville,Thumbelina,1,49,6
7101,Star Wars,Lightsaber Duel,2,52,6
6572,Town,Wind Runners,2,52,6
6829,Space,Radon Rover,1,53,6
6033,Castle,Treasure Transport,3,54,6
5921,Adventurers,Research Glider,1,57,6
6852,Space,Sonar Security,1,61,6
6487,Town,Mountain Rescue,1,68,6
6644,Town,Road Rebel,1,68,6
5925,Adventurers,Pontoon Plane,1,72,6
4284,Classic,Trial Size Box 5+,1,121,6
1253,Town,Shell Race Car Transporter,1,102,6.25
6877,Space,Vector Detector,1,62,6.35
6687,Town,Turbo Prop I,2,78,6.48
6684,Town,Police Patrol Squad,2,77,6.5
6105,Castle,Medieval Knights,4,41,6.75
6401,Town,Seaside Cabana,2,45,6.75
6625,Town,Speed Trackers,2,62,6.75
6649,Town,Street Sweeper,1,63,6.75
6646,Town,Screaming Patriot,1,65,6.75
2962,Town,Res-Q Lifeguard,2,70,6.75
3930,Friends,Stephanie's Outdoor Bakery,1,45,6.99
60126,City,Tire Escape,2,47,6.99
60006,City,Police ATV,2,51,6.99
8056,Atlantis,Monster Crab Clash,1,68,6.99
9461,Monster Fighters,The Swamp Creature,2,70,6.99
2258,Ninjago,Ninja Ambush,2,71,6.99
9440,Ninjago,Venomari Shrine,1,86,6.99
4701,Harry Potter,Sorting Hat,1,48,7
6468,Town,Tow-n-Go Value Pack,2,50,7
4173,Creator,Max's Pitstop,1,58,7
1355,Studios,Temple of Gloom,2,58,7
7311,Space,Red Planet Cruiser,1,73,7
1252,Town,Shell Tanker,1,107,7
6402,Town,Sidewalk Café,2,47,7.25
6648,Town,Mag Racer,1,62,7.25
6639,Town,Raven Racer,1,66,7.25
6665,Town,River Runners,3,77,7.25
6663,Town,Wave Rebel,1,79,7.25
3855,Games,Ramses Return,5,99,7.49
6880,Space,Surface Explorer,1,82,7.5
40056,Seasonal,Thanksgiving Feast,2,46,7.99
7009,Castle,The Final Joust,2,62,7.99
7242,City,Street Sweeper,1,63,7.99
7731,City,Mail Van,1,66,7.99
8957,Power Miners,Mine Mech,2,67,7.99
40059,Seasonal,Santa's Sleigh,2,77,7.99
40052,Seasonal,Springtime Scene,2,88,7.99
8111,Exo-Force,River Dragon,1,112,7.99
3584,Sports,Rapid Return,1,47,8
3427,Sports,NBA Slam Dunk,1,53,8
6037,Castle,Witch's Windship,1,56,8
5824,Belville,The Good Fairy's House,1,66,8
7533,Clikits,Pretty In Pink Jewels-n-More,1,67,8
7534,Clikits,Stylin' Citrus Jewels-n-More,1,67,8
6878,Space,Sub Orbital Guardian,1,69,8
7420,Adventurers,Thunder Blazer,1,69,8
6673,Town,Solo Trainer,1,74,8
6718,Western,Raindance Ridge,2,74,8
6036,Castle,Skeleton Surprise,2,74,8
5938,Adventurers,Oasis Ambush,3,77,8
6856,Space,Planetary Decoder,1,80,8
6038,Castle,Wolfpack Renegades,2,100,8
6671,Town,Utility Repair Lift,1,106,8
6039,Castle,Twin-Arm Launcher,2,77,8.5
6422,Town,Telephone Repair,1,43,8.75
6135,Aquazone,Spy Shark,1,60,8.75
6556,Town,Scuba Squad,2,77,8.75
8777,Castle,Vladek Encounter,2,42,9
5859,Belville,Little Garden Fairy,1,51,9
5856,Belville,Paprika and the Mischievous Monkey,1,51,9
4533,Trains,Train Track Snow Remover,1,58,9
6258,Pirates,Smuggler's Shanty,3,70,9.25
6667,Town,Pothole Patcher,1,97,9.25
6668,Town,Recycle Truck,1,109,9.25
6670,Town,Rescue Rig,1,114,9.25
